tm,warning_type,주의보_개수
2021-07-13,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-14,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-15,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-16,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-17,"태풍주의보, 한파주의보, 호우주의보",3
2021-07-18,"태풍주의보, 한파주의보, 호우주의보",3
2021-07-19,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-20,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-21,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-22,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-23,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-24,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-25,"태풍주의보, 폭염주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-07-26,"태풍주의보, 폭염주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-07-27,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-28,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-29,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-30,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-07-31,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-08-01,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-08-02,"태풍주의보, 폭염주의보, 한파주의보",3
2021-08-03,"태풍주의보, 폭염주의보, 한파주의보",3
2021-08-04,"태풍주의보, 폭염주의보, 한파주의보",3
2021-08-05,"태풍주의보, 폭염주의보, 한파주의보",3
2021-08-06,"태풍주의보, 폭염주의보, 풍랑주의보, 한파주의보",4
2021-08-07,"태풍주의보, 폭염주의보, 한파주의보, 호우주의보",4
2021-08-08,"태풍주의보, 폭염주의보, 폭풍해일주의보, 풍랑주의보, 한파주의보, 호우주의보",6
2021-08-09,"태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",4
